a 1001
b 1111111
c 11011
d 11010
e 1010
f 111010
g 1111110
h 10110
i 0111
j 101111111111
k 101111110
l 11100
m 111101
n 0110
o 1100
p 111100
q 101111111110
r 0100
s 0101
t 1000
u 101110
v 1111101
w 1111100
x 1011111110
y 111011
z 10111111110
. 1011110
  00
, 10111110
